Candidate,Party,State,District,Incumbent,Winner,Percentage of Vote,Raised,Spent,Funds Remaining
Joshua Scott,(R),California,District 32 ,False,False,33.4,23624,14248,10155
Ted Lieu,(D),California,District 33 ,True,True,67.6,1661436,1582573,1944364
James Bradley,(R),California,District 33 ,False,False,32.4,78910,79035,0
Jimmy Gomez,(D),California,District 34 ,True,True,53.0,1401166,1268312,489519
David Kim,(D),California,District 34 ,False,False,47.0,193430,80381,99638
Norma Torres,(D),California,District 35 ,True,True,69.3,654727,664600,207654
Mike Cargile,(R),California,District 35 ,False,False,30.7,36113,35915,198
Raul Ruiz,(D),California,District 36 ,True,True,60.3,2402624,1732443,2316172
Erin Cruz,(R),California,District 36 ,False,False,39.7,54217,53840,782
Karen Bass,(D),California,District 37 ,True,True,85.9,2216467,1202942,1325864
Errol Webber,(R),California,District 37 ,False,False,14.1,66398,174076,0
Linda Sanchez,(D),California,District 38 ,True,True,74.3,1246008,1140165,840983
Gil Cisneros,(D),California,District 39 ,True,False,49.4,4370133,4350464,101108
Young Kim,(R),California,District 39 ,False,True,50.6,6424556,6021651,408239
Lucille Roybal-Allard,(D),California,District 40 ,True,True,72.7,739790,741379,38543
Antonio Delgado,(R),California,District 40 ,False,False,27.3,85014,79270,5744
Mark Takano,(D),California,District 41 ,True,True,64.0,1020456,949494,163964
Aja Smith,(R),California,District 41 ,False,False,36.0,660658,659909,1016
Ken Calvert,(R),California,District 42 ,True,True,57.1,1441812,1549113,410599
Liam O'Mara,(D),California,District 42 ,False,False,42.9,130065,128782,1283
Maxine Waters,(D),California,District 43 ,True,True,71.7,1836660,1906957,320867
Joe Collins,(R),California,District 43 ,False,False,28.3,10556626,9921103,635523
Nanette Barragan,(D),California,District 44 ,True,True,67.8,1173909,714023,1050752
Katie Porter,(D),California,District 45 ,True,True,53.5,16627706,6443700,10267752
Greg Raths,(R),California,District 45 ,False,False,46.5,1245767,1241713,1998
Lou Correa,(D),California,District 46 ,True,True,68.8,1192715,650707,1145701
Alan Lowenthal,(D),California,District 47 ,True,True,63.3,678648,854902,393035
John Briscoe,(R),California,District 47 ,False,False,36.7,25302,21538,10390
Harley Rouda,(D),California,District 48 ,True,False,48.9,5968858,6174443,70080
Michelle Steel,(R),California,District 48 ,False,True,51.1,6305665,6148591,157074
Mike Levin,(D),California,District 49 ,True,True,53.1,3845768,2901566,1502261
Brian Maryott,(R),California,District 49 ,False,False,46.9,2810253,2808217,11794
Darrell Issa,(R),California,District 50 ,False,True,54.0,11239670,10947106,292563
Ammar Campa-Najjar,(D),California,District 50 ,False,False,46.0,6248210,6247762,3438
Juan Vargas,(D),California,District 51 ,True,True,68.3,799734,801671,69739
Juan Hidalgo,(R),California,District 51 ,False,False,31.7,83730,81182,-8419
Scott Peters,(D),California,District 52 ,True,True,61.6,1911791,2131849,1581118
James Debello,(R),California,District 52 ,False,False,38.4,233464,224630,8835
Sara Jacobs,(D),California,District 53 ,False,True,59.5,7678363,7586186,102167
Georgette Gomez,(D),California,District 53 ,False,False,40.5,1691794,1663252,28542
Diana DeGette,(D),Colorado,District 01 ,True,True,73.7,1201026,1077130,277373
Joseph Neguse,(D),Colorado,District 02 ,True,True,61.5,1353325,674602,893504
Charles Winn,(R),Colorado,District 02 ,False,False,35.4,98338,98338,0
Alex Johnson,(I),Colorado,District 02 ,False,False,,4782,4093,689
Diane Mitsch Bush,(D),Colorado,District 03 ,False,False,45.2,5008274,4984238,28455
Lauren Boebert,(R),Colorado,District 03 ,False,True,51.4,2989510,2632716,356794
Chris Milton,(3),Colorado,District 03 ,False,False,1.0,12012,12012,0
Ken Buck,(R),Colorado,District 04 ,True,True,60.1,478984,539393,290666
Ike McCorkle,(D),Colorado,District 04 ,False,False,36.1,369871,217398,152473
Doug Lamborn,(R),Colorado,District 05 ,True,True,57.6,540712,329011,428777
Jillian Freeland,(D),Colorado,District 05 ,False,False,37.4,185255,175548,553
Rebecca Keltie,(3),Colorado,District 05 ,False,False,0.8,2552,1495,2596
Jason Crow,(D),Colorado,District 06 ,True,True,57.1,4136137,2892443,1289005
Steven House,(R),Colorado,District 06 ,False,False,40.0,1200056,1198044,2012
Jaimie Kulikowski,(3),Colorado,District 06 ,False,False,0.9,72293,110645,0
Ed Perlmutter,(D),Colorado,District 07 ,True,True,59.1,1632262,1339482,1053696
Casper Stockham,(R),Colorado,District 07 ,False,False,37.6,147872,147872,0
Anthony Malgieri,(I),Colorado,District 07 ,False,False,,1930,1958,15
John Larson,(D),Connecticut,District 01 ,True,True,63.7,1377238,1323690,422375
Mary Fay,(R),Connecticut,District 01 ,False,False,35.0,26836,25118,1718
Joe Courtney,(D),Connecticut,District 02 ,True,True,59.4,964731,999360,715813
Justin Anderson,(R),Connecticut,District 02 ,False,False,38.2,80227,78767,1460
Rosa DeLauro,(D),Connecticut,District 03 ,True,True,58.7,1938999,1795635,159728
Margaret Streicker,(R),Connecticut,District 03 ,False,False,39.8,1839080,1835385,3695
Justin Paglino,(3),Connecticut,District 03 ,False,False,1.5,29200,28670,529
Jim Himes,(D),Connecticut,District 04 ,True,True,62.3,1612935,2180029,1823200
Jonathan Riddle,(R),Connecticut,District 04 ,False,False,36.2,31591,17385,11976
Jahana Hayes,(D),Connecticut,District 05 ,True,True,55.1,2037826,1564685,1029607
David Sullivan,(R),Connecticut,District 05 ,False,False,43.5,397395,397370,25
Lisa Blunt Rochester,(D),Delaware,District 01 ,True,True,57.6,2024201,1305618,963766
Lee Murphy,(R),Delaware,District 01 ,False,False,40.2,131394,131862,247
Catherine Purcell,(I),Delaware,District 01 ,False,False,1.4,5344,5103,0
